證券代碼,年月日,開盤價(元),收盤價(元)
2330,20000104,32.2582,32.2582
Y9999  ,20000104,8644.91,8756.55
M2300  ,20000104,459.09,462.34
2330,20000105,32.2582,32.9831
Y9999  ,20000105,8690.6,8849.87
M2300  ,20000105,458.41,467.2
2330,20000106,32.8019,32.2582
Y9999  ,20000106,8876.59,8922.03
M2300  ,20000106,467.42,466.23
2330,20000107,31.1709,31.3521
Y9999  ,20000107,8856.87,8845.47
M2300  ,20000107,458.4,458.36
2330,20000110,32.2582,32.4395
Y9999  ,20000110,8918.6,9102.6
M2300  ,20000110,460.79,474.65
2330,20000111,32.8019,31.8958
Y9999  ,20000111,9199.1,8927.03
M2300  ,20000111,480.57,464.87
2330,20000112,32.077,32.8019
Y9999  ,20000112,8964.78,9144.65
M2300  ,20000112,466.97,481.56
2330,20000113,32.8019,32.2582
Y9999  ,20000113,9168.73,9107.19
M2300  ,20000113,481.81,472.92
2330,20000114,32.6207,32.9831
Y9999  ,20000114,9172.17,9023.24
M2300  ,20000114,476.86,469.75
2330,20000115,34.0705,34.0705
Y9999  ,20000115,9155.74,9191.37
M2300  ,20000115,479.22,482.45
2330,20000117,34.4329,33.8893
Y9999  ,20000117,9256.57,9315.43
M2300  ,20000117,485.63,484.34
2330,20000118,33.8893,33.3456
Y9999  ,20000118,9346.98,9250.19
M2300  ,20000118,484.96,479.4
2330,20000119,33.3456,33.3456
Y9999  ,20000119,9255.7,9151.44
M2300  ,20000119,478.82,470.91
2330,20000120,33.3456,32.9831
Y9999  ,20000120,9175.27,9136.95
M2300  ,20000120,471.55,472.04
2330,20000121,32.9831,33.708
Y9999  ,20000121,9170.41,9255.94
M2300  ,20000121,474.59,478.41
2330,20000124,34.0705,34.0705
Y9999  ,20000124,9327.98,9387.07
M2300  ,20000124,482.84,480.43
2330,20000125,34.9766,34.9766
Y9999  ,20000125,9411.1,9372.37
M2300  ,20000125,482.58,480.92
2330,20000126,36.064,37.3326
Y9999  ,20000126,9469.74,9581.96
M2300  ,20000126,487.81,495.48
2330,20000127,37.695,37.695
Y9999  ,20000127,9639.86,9628.98
M2300  ,20000127,499.41,493.15
2330,20000128,36.4264,36.9701
Y9999  ,20000128,9600.45,9696.91
M2300  ,20000128,488.04,488.96
2330,20000129,35.8827,36.2452
Y9999  ,20000129,9618.78,9636.38
M2300  ,20000129,482.35,487.93
2330,20000131,35.8827,36.7889
Y9999  ,20000131,9653.24,9744.89
M2300  ,20000131,488.45,496.01
2330,20000201,37.1513,36.6077
Y9999  ,20000201,9829.68,9856.39
M2300  ,20000201,501.17,497.33
2330,20000209,38.7824,38.2387
Y9999  ,20000209,10039.67,10008.88
M2300  ,20000209,509.53,506.77
2330,20000210,37.8762,38.7824
Y9999  ,20000210,10008.38,10057.67
M2300  ,20000210,505.7,505.42
2330,20000211,39.326,39.6885
Y9999  ,20000211,10125.51,10128.67
M2300  ,20000211,508.55,511.95
2330,20000214,39.5073,38.7824
Y9999  ,20000214,10140.65,9971.45
M2300  ,20000214,511.23,503.82
2330,20000215,38.7824,38.9636
Y9999  ,20000215,9982.27,9957.74
M2300  ,20000215,503.74,506.08
2330,20000216,38.9636,38.6011
Y9999  ,20000216,10010.87,10064.49
M2300  ,20000216,508.65,507.02
2330,20000217,38.2387,38.2387
Y9999  ,20000217,10089.89,10202.2
M2300  ,20000217,506.21,507.67
2330,20000218,38.4199,37.695
Y9999  ,20000218,10266.79,10096.38
M2300  ,20000218,510.32,503.33
2330,20000219,37.1513,37.1513
Y9999  ,20000219,10084.29,10161.05
M2300  ,20000219,500.72,500.4
2330,20000221,36.7889,35.3391
Y9999  ,20000221,10165.24,9912.67
M2300  ,20000221,498.97,479.44
2330,20000222,34.7954,35.3391
Y9999  ,20000222,9860.12,9731.93
M2300  ,20000222,475.77,479.78
2330,20000223,35.3391,35.1578
Y9999  ,20000223,9738.19,9642.26
M2300  ,20000223,480.91,478.36
2330,20000224,35.3391,35.3391
Y9999  ,20000224,9725.3,9599.17
M2300  ,20000224,484.4,482.63
